Row Labels;4TC_PCURMON;4TC_P+1MON
26/09/2013;10397;15728
27/09/2013;10457;14600
30/09/2013;15092;14629
01/10/2013;15742;15325
02/10/2013;16592;16267
03/10/2013;16763;16588
04/10/2013;16960;17060
07/10/2013;16970;16865
08/10/2013;16367;16325
09/10/2013;15900;15970
10/10/2013;15421;15358
11/10/2013;15838;15696
14/10/2013;15613;15292
15/10/2013;16279;15963
16/10/2013;16192;15992
17/10/2013;15696;15317
18/10/2013;15571;14833
21/10/2013;15546;14133
22/10/2013;15667;13921
23/10/2013;15583;13183
24/10/2013;15596;13021
25/10/2013;15608;13363
28/10/2013;15440;12760
29/10/2013;15375;12100
30/10/2013;15485;12280
31/10/2013;12658;10496
01/11/2013;12733;10688
04/11/2013;13238;11271
05/11/2013;13267;11221
06/11/2013;12638;10608
07/11/2013;12630;10705
08/11/2013;12579;10896
11/11/2013;12054;10542
12/11/2013;11840;10480
13/11/2013;11621;10004
14/11/2013;11208;9571
15/11/2013;11217;9646
18/11/2013;11233;9713
19/11/2013;11496;10021
20/11/2013;11729;10717
21/11/2013;11621;10600
